warehouse,product,alpha,unit_code,long_description,nominal_key,purchase_key,analysis_a,analysis_b,last_supplier,physical_qty,on_order_qty,current_cost,min_stock_level
ES,EL1.5MBP198,ELECTR,EACH,1.5MM2 BLACK CABLE,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL1.5MGP200,ELECTR,EACH,1.5MM2 GREEN CABLE,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL1.5MRS199,ELECTR,EACH,1.5MM2 RED S\C CABLE,E99,E99,099,OBS,,0,0,0,0
ES,EL1.6MBR280,ELECTR,EACH,1.6A MOTOR BREAKER,E99,E99,099,OBS,,0,0,0,0
ES,EL100A1568,ELECTR,EACH,100 AMP ISOLATOR,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL100CON46,ELECTR,EACH,100MFD CONDENSOR,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL100TP461,ELECTR,EACH,100 AMP T/P MCB 3 PHASE,099,099,,OBS,CASH,0,0,115,0
ES,EL100WL252,ELECTR,EACH,100W BC LIGHT BULBS,099,099,099,ELEC,LA23,15,0,6.739,0
ES,EL10ABF239,ELECTR,EACH,10AMP BOTTLE FUSES,E99,E99,099,OBS,BO01,0,0,0,0
ES,EL10AMP185,ELECTR,EACH,10AMPS STRIP CONNECTORS 12 WAY,E99,E99,099,ELEC,CASH,0,0,4.5,0
ES,EL10AMP189,ELECTR,EACH,10AMP BLOCK CONNECTORS,E99,E99,099,ELEC,BR10,0,0,2.28,0
ES,EL10MCL259,ELECTR,EACH,10MM CABLE CLIPS,099,099,099,ELEC,BE15,2,0,1.74,0
ES,EL10UFCA63,ELECTR,EACH,10UF 500V CAPACITORS,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL110TC498,ELECTR,EACH,110V CONTACTORS 20A - 30A,099,099,099,ELEC,LN10,11,0,110,0
ES,EL11PRAC34,ELECTR,EACH,11 PIN RELAY 24V AC,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL120FN312,ELECTR,EACH,120X120 PANEL FANS 220V,E99,E99,099,OBS,BT02,0,0,0,0
ES,EL120XF293,ELECTR,EACH,120*120 AXIAL FANS,E99,E99,099,OBS,BT02,0,0,0,0
ES,EL12MCL260,ELECTR,EACH,12MM CABLE CLIPS,099,099,099,ELEC,BE15,1,0,4.35,0
ES,EL13AMP125,ELECTR,EACH,13AMP PLUG TOPS,E99,E99,099,ELEC,Unknown,0,0,1.3045,0
ES,EL13APT130,ELECTR,EACH,13AMP PLUG TOP FUSES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL13AWP128,ELECTR,EACH,13AMP 3WAY ADAPTORS,E99,E99,099,OBS,BO01,0,0,10.925,0
ES,EL13SUR385,ELECTR,EACH,7WAY SURGE PROTECTOR,E99,E99,099,OBS,LT11,0,0,320,0
ES,EL150AW205,ELECTR,EACH,150A WELDING CABLE,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL150SSB15,ELECTR,EACH,150A S\S BREAKERS,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL15ABR489,ELECTR,EACH,15 AMP BREAKER,E99,E99,099,OBS,,0,0,0,0
ES,EL15ACB474,ELECTR,EACH,15A MCB,099,099,099,ELEC,Unknown,0,0,4.35,0
ES,EL15AMP116,ELECTR,EACH,15AMP GLASS FUSES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL15AMP126,ELECTR,EACH,15AMP PLUG TOPS,E99,E99,099,ELEC,Unknown,0,0,2.195,0
ES,EL15AMS187,ELECTR,EACH,15A STRIP CONNECTOR,E99,E99,099,ELEC,CASH,0,0,4.5,0
ES,EL15ASO134,ELECTR,EACH,15A S-SWITCH SOCKETS,E99,E99,099,ELEC,CASH,0,0,17,0
ES,EL15ASS133,ELECTR,EACH,15AMP SURFACE SOCKET,E99,E99,099,OBS,OKPATECH,0,0,0,0
ES,EL160FS493,ELECTR,EACH,160 FUSE,E99,E99,099,ELEC,BR10,0,0,50,0
ES,EL160UF332,ELECTR,EACH,160-200UF CAPACITORS,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL16ABF240,ELECTR,EACH,16AMP BOTTLE FUSES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL16X4C511,ELEC,EACH,CABLE16MMX4CORE PVC/SWA/MTR,099,099,099,ELEC,Unknown,0,0,20.57,0
ES,EL1725A469,ELECTR,EACH,17 - 25 AMP TELE OVERLOAD RELAY,E99,E99,099,OBS,BO01,0,0,0,0
ES,EL180VSO56,ELECTR,EACH,180V SOLINOID,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL18BPT220,ELECTR,EACH,18"BI PIN TUBES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL1AMPG109,ELECTR,EACH,1AMP GLASS FUSES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL1AMPST327,ELECTR,EACH,0.63-1 AMP STARTERS,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL1MF2P223,ELECTR,EACH,1MTR FLO TUBES 40W,E99,E99,099,OBS,BO01,0,0,0,0
ES,EL1X5LU348,ELECTR,EACH,1*5MM LUGS,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL2.5M4C204,ELECTR,EACH,2.5 4CORE FLEX CABLE,E99,E99,099,ELEC,CASH,0,0,2.8,0
ES,EL2.5MBR279,ELECTR,EACH,2.5 4A MOTOR BREAKER,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL2.5ME089,ELECTR,EACH,2.5MM EARTH CABLE,E99,E99,099,ELEC,BH04,0,0,0.44,0
ES,EL200SSB16,ELECTR,EACH,200A S\S BREAKERS,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL20ABF241,ELECTR,EACH,20AMP BOTTLE FUSES,E99,E99,099,OBS,BO01,0,0,0,0
ES,EL20ABR342,ELECTR,EACH,20AMP S\P BRAEKERS,099,099,099,ELEC,CASH,0,0,12,0
ES,EL20CBO208,ELECTR,EACH,ONE WAY CONDUIT BOX,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL20FCB211,ELECTR,EACH,4WAY CONDUIT BOXES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL20MCO194,ELECTR,EACH,20MM COUPLINGS,099,099,099,ELEC,Unknown,0,0,0.069,0
ES,EL20MFB193,ELECTR,EACH,20MM F\BRASS BUSHES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL20PVC265,ELECTR,EACH,20MM PVC NIPPLES,E99,E99,099,ELEC,Unknown,200,0,0.069,0
ES,EL20PVC266,ELECTR,EACH,20MM  SADDLES,E99,E99,099,OBS,BD28,0,0,0,0
ES,EL20SCP214,ELECTR,EACH,20MM STEEL CONDUITS,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL20TCB210,ELECTR,EACH,ROUND CONDUIT BOXES,099,099,099,ELEC,Unknown,10,0,0.26,0
ES,EL20TRP537,ELECTR,EACH,20 AMPS TRIPPLE POLE,099,099,099,ELEC,Unknown,0,0,14.78,0
ES,EL21FTS269,ELECTR,EACH,21" 13W FLO TUBES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL220CL486,ELECTR,EACH,220 VOLTS FESTO COILS,099,099,099,OBS,Unknown,0,0,45.65,0
ES,EL220DM547,ELECTR,EACH,DILM 220VOLTS CONTACTOR,099,099,099,ELEC,LT11,10,0,365,0
ES,EL220MC287,ELECTR,EACH,220V MINI CONTACTORS,E99,E99,099,ELEC,LN10,7,0,160,0
ES,EL220TC495,ELECTR,EACH,D0910 TELE CONTACTOR 220 VOLTS,E99,E99,099,ELEC,LN10,9,0,30,0
ES,EL220VSC66,ELECTR,EACH,220V SPARE COIL,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL22AUX517,ELECTR,EACH,AUXILLIARY SWITCH 22 BLOCK NO 3NC,099,099,099,ELEC,LB06,0,0,133,0
ES,EL22DLB548,ELECTR,EACH,22 DILM AUXILLARY CONTACTOR BLOCK,099,099,099,ELEC,LN10,5,0,45,0
ES,EL22EAC483,ELECTR,EACH,3TH 2022E 220 VAC CONTACTOR,E99,E99,099,OBS,BO01,0,0,0,0
ES,EL240HL219,ELECTR,EACH,1500W HALOGEN LAMPS,E99,E99,099,OBS,Unknown,0,10,0,0
ES,EL24PRC271,ELECTR,EACH,24VDC 11 PIN RELAYS,E99,E99,099,ELEC,LN10,1,0,405,0
ES,EL24V4W150,ELECTR,EACH,24V 4W GLOBES 3930,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL24VCO511,ELEC,EACH,24 VOLTS SIEMENS CONTACTOR 31E,099,099,099,ELEC,LN10,17,0,30,0
ES,EL250MV215,ELECTR,EACH,MERCURY VAPOUR LAMPS,E99,E99,099,OBS,BC07,0,0,18,0
ES,EL250UCA55,ELECTR,EACH,250UF CAPACITORS 25V,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL25A3P429,ELECTR,EACH,C45 25A 3P(MCB FOR ROLAND 800),E99,E99,099,OBS,BD28,0,0,0,0
ES,EL25ABF242,ELECTR,EACH,25AMP BOTTLE FUSES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL25AMP117,ELECTR,EACH,25AMP GLASS FUSES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL25ASP124,ELECTR,EACH,25AMP PLUG SOCKETS,E99,E99,099,ELEC,LN10,4,0,5,0
ES,EL25BLK478,ELECTR,EACH,BLACK 2.5 CABLE,E99,E99,099,ELEC,BH04,0,0,0.7,0
ES,EL25CAR506,C/BRUSH,EACH,CARBON BRUSH 25X5X4MM,099,099,099,ELEC,HM47,3,0,4.78,0
ES,EL25FCO213,ELECTR,EACH,25 FLEXIBLE CONDUIT,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL25RDC477,ELECTR,EACH,RED 2.5MM CABLE,E99,E99,099,ELEC,BH04,0,0,0.7,0
ES,EL25SDT372,ELECTR,EACH,SLOTTED TRUNKING 25 X25,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL284SDE73,ELECTR,EACH,STRIPLIGHT 284 DECC,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL2AFUS464,ELECTR,EACH,20MM 2 AMP FUSES,E99,E99,099,OBS,BO01,0,0,0,0
ES,EL2FTBP222,ELECTR,EACH,2FT BI PIN TUBES,E99,E99,099,ELEC,CASH,0,0,1.3,0
ES,EL2FTDF229,ELECTR,EACH,2FT DOUBLE FLORESCENT FITTINGS,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL2FTSF229,ELECTR,EACH,2 FT SINGLE FITTINGS,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL2KWGE121,ELECTR,EACH,2KW GEYSER ELEMENTS,E99,E99,099,ELEC,LF08,0,0,77.4,0
ES,EL2NAUX468,ELECTR,EACH,2N/O 2N/C AUXILLIARY CONTACTOR,E99,E99,099,ELEC,LN10,2,0,100,0
ES,EL2PESA297,ELECTR,EACH,2PIN ENERGY SAVERS,E99,E99,099,ELEC,CASH,0,0,3.48,0
ES,EL2UFCON44,ELECTR,EACH,2UF 850V CONDENSOR,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL2WCBO209,ELECTR,EACH,2WAY CONDUIT BOXES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL3.5MC254,ELECTR,EACH,3.5MM CABLE CLIPS,E99,E99,099,OBS,BO01,0,0,0,0
ES,EL30ABR341,ELECTR,EACH,30AMPS\POLE BREAKERS,E99,E99,099,OBS,,0,0,0,0
ES,EL30ABR490,ELECTR,EACH,30 AMP BREAKER,E99,E99,099,OBS,,0,0,0,0
ES,EL30ACB475,ELECTR,EACH,30A MCB,099,099,099,ELEC,Unknown,0,0,4.35,0
ES,EL30ACO144,ELECTR,EACH,30AMP COOKER FUSES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL30ARY512,ELEC,EACH,3 PHASE 50HZ 18  - 30 AMPS AVERLOAD RELA,099,099,099,ELEC,BR10,3,0,70.5,0
ES,EL31220481,ELECTR,EACH,3TH 2031E 220VAC CONTACTOR,E99,E99,099,OBS,BO01,0,0,0,0
ES,EL31E24480,ELECTR,EACH,3TH 2031E 24VAC CONTACTOR,E99,E99,099,OBS,BO01,0,0,0,0
ES,EL32125456,ELECTR,EACH,"CARBON BRUSHES 32 X 12,5 X 6MM",E99,E99,099,OBS,HM47,0,0,0,0
ES,EL32ABR299,ELECTR,EACH,32AMP MG 3P BREAKER,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL32SFT526,ELECTR,EACH,SIRIUS SOFT STARTER 32A 15KW/400V 3RW402,099,099,099,ELEC,IB02,0,0,1433.51,0
ES,EL33BOX472,ELECTR,EACH,SQUARE BOXES 3 X 3,099,099,099,ELEC,BO01,0,0,1.83,0
